"obj_id","ra","dec","filter","mjd","instrument_id","instrument_name","ra_unc","dec_unc","origin","id","altdata","mag","magerr","magsys","limiting_mag"
"ZTF21abyjydm","263.2375563","51.8043689","ztfg","59488.22828700021","1","ZTF","","","None","165182898","","18.457599991284525","0.0752820000052452","ab","19.607757909359"
"ZTF21abyjydm","263.2374218","51.8043539","ztfi","59489.136701399926","1","ZTF","","","None","165182899","","18.82082775811127","0.11410545557737349","ab","19.519447524007536"
"ZTF21abyjydm","263.2374218","51.8043539","ztfi","59489.136701399926","1","ZTF","","","None","165186373","","18.82082748413086","0.11410545557737349","ab","19.645986557006836"
"ZTF21abyjydm","263.2375164","51.804363","ztfg","59489.20423609996","1","ZTF","","","None","165273194","","18.479120332112046","0.0790698081254959","ab","19.57597940890487"
"ZTF21abyjydm","263.2374218","51.8043539","ztfi","59489.136701399926","1","ZTF","","","None","165273035","","18.820800959062378","0.11410500109195708","ab","19.519425049486784"
"ZTF21abyjydm","263.2375396","51.8043244","ztfi","59489.138125000056","1","ZTF","","","None","165273036","","18.78490106240658","0.10175999999046324","ab","19.607844105838875"
"ZTF21abyjydm","263.2375002","51.8043555","ztfg","59489.20328699984","1","ZTF","","","None","165273037","","18.387199751338457","0.07229935377836227","ab","19.58124950161072"
"ZTF21abyjydm","263.2375396","51.8043244","ztfi","59489.138125000056","1","ZTF","","","None","165278284","","18.784900665283203","0.10175999999046326","ab","19.750600814819336"
"ZTF21abyjydm","263.2375002","51.8043555","ztfg","59489.20328699984","1","ZTF","","","None","165278285","","18.38719940185547","0.07229935377836227","ab","20.158477783203125"
"ZTF21abyjydm","263.2375164","51.804363","ztfg","59489.20423609996","1","ZTF","","","None","165302838","","18.4791202545166","0.07906980812549591","ab","20.112957000732422"
"ZTF21abyjydm","263.2375164","51.804363","ztfg","59489.20423609996","1","ZTF","","","None","165352969","","18.47909941983692","0.07907000184059142","ab","19.57595583666079"
"ZTF21abyjydm","263.2375002","51.8043555","ztfg","59489.20328699984","1","ZTF","","","None","165352970","","18.387199751338457","0.07229900360107422","ab","19.581254760317208"
"ZTF21abyjydm","263.2374964","51.8043386","ztfg","59489.24974540016","1","ZTF","","","None","165352971","","18.508648425634348","0.09323474764823912","ab","19.426589715507575"
"ZTF21abyjydm","263.2374964","51.8043386","ztfg","59489.24974540016","1","ZTF","","","None","165356101","","18.508647918701172","0.09323474764823914","ab","19.81456756591797"
"ZTF21abyjydm","263.2374554","51.8043434","ztfr","59490.13582180021","1","ZTF","","","None","165767644","","18.51901491556398","0.07071416825056076","ab","19.73713461087845"
"ZTF21abyjydm","263.2374964","51.8043386","ztfg","59489.24974540016","1","ZTF","","","None","165771462","","18.508600711805492","0.09323500096797943","ab","19.426539051726614"
"ZTF21abyjydm","263.2375254","51.8043375","ztfr","59490.13724539988","1","ZTF","","","None","165771463","","18.608053477350275","0.09895413368940353","ab","19.461354413819826"
"ZTF21abyjydm","263.2374554","51.8043434","ztfr","59490.13582180021","1","ZTF","","","None","165771459","","18.518999402453197","0.07071399688720703","ab","19.737121728861652"
"ZTF21abyjydm","263.2374554","51.8043434","ztfr","59490.13582180021","1","ZTF","","","None","165785474","","18.518999099731445","0.07071399688720703","ab","20.13610076904297"
"ZTF21abyjydm","263.2375254","51.8043375","ztfr","59490.13724539988","1","ZTF","","","None","165785475","","18.60805320739746","0.09895413368940353","ab","20.335819244384766"
"ZTF21abyjydm","263.2375254","51.8043375","ztfr","59490.13724539988","1","ZTF","","","None","165797633","","18.608101210124584","0.09895399957895278","ab","19.461403618070516"
"ZTF21abyjydm","263.2375009","51.8043452","ztfr","59490.154432899784","1","ZTF","","","None","165797634","","18.573259802070524","0.08178988844156267","ab","19.633396551588504"
"ZTF21abyjydm","263.2375009","51.8043452","ztfr","59490.154432899784","1","ZTF","","","None","165803961","","18.573259353637695","0.08178988844156265","ab","19.912059783935547"
"ZTF21abyjydm","263.2375009","51.8043452","ztfr","59490.154432899784","1","ZTF","","","None","165835877","","18.573299775729673","0.08179000020027162","ab","19.63343504168537"
"ZTF21abyjydm","263.2375282","51.8043612","ztfg","59490.176921300124","1","ZTF","","","None","165835878","","18.495613482054985","0.07208311557769775","ab","19.692915397495206"
"ZTF21abyjydm","263.2375282","51.8043612","ztfg","59490.176921300124","1","ZTF","","","None","165838819","","18.49561309814453","0.07208311557769775","ab","20.16680908203125"
"ZTF21abyjydm","263.2374811","51.8043461","ztfg","59490.17880789982","1","ZTF","","","None","165840901","","18.431126015436668","0.07744150608777998","ab","19.55057732809889"
"ZTF21abyjydm","263.2375282","51.8043612","ztfg","59490.176921300124","1","ZTF","","","None","165845224","","18.495599783704034","0.07208299636840819","ab","19.69290349470966"
"ZTF21abyjydm","263.2375179","51.8043597","ztfg","59490.177870399784","1","ZTF","","","None","165845225","","18.48988373115752","0.0710684061050415","ab","19.70257808184502"
"ZTF21abyjydm","263.2375179","51.8043597","ztfg","59490.177870399784","1","ZTF","","","None","165853531","","18.489883422851562","0.0710684061050415","ab","20.3040828704834"
"ZTF21abyjydm","263.2374811","51.8043461","ztfg","59490.17880789982","1","ZTF","","","None","165923051","","18.43112564086914","0.07744150608778","ab","20.270648956298828"
"ZTF21abyjydm","263.2375179","51.8043597","ztfg","59490.177870399784","1","ZTF","","","None","166135254","","18.489900991321676","0.07106799632310866","ab","19.702601602405146"
